LOCATION_NAME,count
KNAPP SDG.ASSMANG LIMITED,46744
SISHEN PRO (ERTS),39602
VROLIK SDG.SISHEN IRON ORE,37557
ALGOABAAI KANTELAAR,23279
RICHARDS BAY HARBOUR COMBI TER,14082
RICHARDS BAY HARBOUR TILTER TE,12454
BIJLKOR SDG.ARCELORMITTAL S.A,10280
UMKOMAAS SDG.SAPPI SAICCOR,9782
RUSTENBURG,7574
GROOTVLEI SDG.ESKOM,7398
WESTS SDG.BULK CONNECTIONS,6574
BEESHOEK SDG.ASSOCIATED MANAGANESE MINES,4811
WITBANK SDG.SAMANCOR FERROMETA,3590
HOTAZEL SDG.ASSOCIATED MANAGAN,3490
ALGOABAAI SDG.FPT GROUP PTY LT,3470
MOUNT VERNON SDG.NPC CIMOR PTY LTD,3212
MIDDELBURG SDG.SAMANCOR LIMITE,3173
MANDLAZINI DEPT.SIDING UNATHIS,3155
NGODWANA SDG.SAPPI LIMITED,3125
NEWCASTLE SDG.ARCELORMITTAL S.A LTD,3080
HOTAZEL SDG. KUDUMANE MANAGEME,2941
ISLAND VIEW SDG.SOUTH AFRICAN,2498
LEPHALALE SDG.EXXARO COAL PTY,2396
ROSSBURGH SDG.HULETT REFINERIE,2346
NORITE SDG.XSTRATA,2229
DWAALBOOM SDG.PPC LIME LIMITED,2052
STEELPOORT,1976
KING'S REST PORTNET CONT.DNR,1963
RICHARDS BAY SDG.NAVITRATE ROC,1896
RICHARDS BAY HARBOUR BOTTOM DI,1884
HERCULES SDG.PRETORIA PORTLAND,1671
PHALABORWA SDG.FOSKOR LIMITED,1597
TABLE BAY HARBOUR G BERTH,1559
ISANDO SDG.A.E.C.I LIMITED,1524
KING'S REST PIER 1,1507
DURBAN HARBOUR (SDG) 3,1465
LOHATLHA DEPT.SIDING S.A FREIG,1446
DURBAN SDG.NEWLYN GROUP CONTAI,1440
TUSSENIN SDG.ANGLO AMERICAN PL,1398
MAMATHWANE SDG.SAMANCOR LIMITED 1,1266
RICHARDS BAY SDG.BAYFIBRE CENT,1214
BLESKOP SDG.BLESKOP RAIL AND L,1210
UMTENTWENI SDG.NPC CIMCOR PTY LTD 2,1180
PHALABORWA SDG.PHALABORWA MINI,1149
